排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
28,鸿蒙概念,BK0953,1548.07,67.06,4.53,2224367856000,7.8,106,3,拓维信息,10.01
29,昨日涨停_含一字,BK1050,138057.77,5969.94,4.52,889721664000,11.69,64,29,航锦科技,10.02
30,国产软件,BK0696,3334.12,142.87,4.48,3338249856000,8.26,215,18,新炬网络,10.01
31,数字经济,BK1061,1244.62,52.91,4.44,1808164896000,7.94,151,7,海南华铁,10.03
32,Web3.0,BK1110,1827.85,77.66,4.44,513970352000,11.27,45,2,天娱数科,9.97
33,互联医疗,BK0837,994.13,42.23,4.44,5007983616000,3.8,91,9,浙数文化,10.01
34,多模态AI,BK1153,1223.77,51.98,4.44,924625904000,10.02,44,5,润建股份,10.01
35,人脑工程,BK0706,4283.34,180.96,4.41,361957952000,8.24,19,1,创新医疗,10.0
36,数字哨兵,BK1084,1466.26,60.92,4.33,90582156000,7.32,11,1,万达信息,15.54
37,智慧城市,BK0628,5069.71,209.68,4.31,2621713888000,5.1,199,16,浙数文化,10.01
38,快手概念,BK0972,1681.43,69.39,4.3,302648560000,14.42,31,1,每日互动,20.01
