代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
sh000934,中证金融,5678.9559,-18.042,-0.317,5696.9982,5713.29,5751.6527,5678.9559,71015156,67458546551
sh000935,中证信息,4545.766,-111.042,-2.385,4656.8078,4663.8541,4664.3558,4545.766,38935766,128098145759
sh000974,800金融,6339.3507,-17.223,-0.271,6356.574,6375.2167,6417.2286,6339.3507,64371503,62965155363
sh000982,500等权,6919.8247,-52.232,-0.749,6972.0565,6985.8137,7014.1839,6919.8247,136546056,163085841548
sh000986,全指能源,2241.0696,23.649,1.066,2217.421,2219.9075,2246.6436,2218.6751,20123831,11813052446
sh000987,全指材料,3159.3197,16.252,0.517,3143.0678,3146.1286,3185.3991,3146.1286,48206340,45223849276
sh000989,全指可选,5143.844,-17.09,-0.331,5160.934,5162.735,5188.8632,5143.844,29331929,49809578872
sh000991,全指医药,7959.4045,2.229,0.028,7957.1756,7970.5396,8050.0295,7959.4045,8594733,21095825525
sh000992,全指金融,5416.9928,-18.445,-0.339,5435.4374,5449.4588,5486.8791,5416.9928,91301977,76510596814
sh000993,全指信息,5982.1137,-149.119,-2.432,6131.2322,6142.3979,6142.7683,5982.1137,53122764,159978208984
sz399001,深证成指,10156.066,-136.663,-1.328,10292.729,10299.971,10329.607,10156.066,53284741781,667641130329
sz399002,深成指R,13395.297,-178.577,-1.316,13573.874,13585.099,13624.188,13395.297,16080694207,282138212859
sz399003,成份Ｂ指,7924.6,38.499,0.488,7886.101,7897.115,7924.6,7875.667,6154040,33400860
sz399004,深证100R,6319.705,-79.858,-1.248,6399.563,6396.948,6417.564,6319.675,4374352926,123026016186
sz399005,中小100,6292.675,-43.258,-0.683,6335.933,6339.526,6364.464,6292.675,3046693727,58720815651
sz399006,创业板指,2063.82,-58.019,-2.734,2121.839,2119.169,2123.148,2063.82,17752012165,324013509608
sz399007,深证300,4277.633,-52.314,-1.208,4329.947,4332.341,4345.785,4277.633,9615567138,204488675935
sz399008,中小300,1262.378,-14.165,-1.11,1276.543,1276.184,1280.849,1262.378,8884393602,122213146818
sz399009,深证200,3690.947,-40.252,-1.079,3731.199,3742.585,3753.253,3690.947,5241214212,81462659749
sz399010,深证700,6744.429,-136.08,-1.978,6880.509,6897.778,6920.044,6744.429,16799813789,216275380420
sz399011,深证1000,4945.409,-72.658,-1.448,5018.067,5023.9,5037.422,4945.409,26415380927,420764056356
sz399012,创业300,3041.789,-83.783,-2.681,3125.572,3128.729,3131.977,3041.789,7246712372,173164535722
sz399013,深市精选,4464.265,-34.872,-0.775,4499.137,4503.605,4520.594,4464.265,11787808143,199457053667
sz399015,中小创新,2284.285,-46.209,-1.983,2330.494,2337.965,2346.508,2284.285,10334686720,138625843496
sz399016,深证创新,4077.687,-81.601,-1.962,4159.288,4159.625,4163.518,4077.621,2268634314,87907282197
sz399017,SME创新,3545.22,-62.051,-1.72,3607.271,3593.035,3605.49,3545.22,2477170836,61548628486
sz399018,创业创新,4087.071,-77.762,-1.867,4164.833,4179.548,4189.182,4087.071,1405986492,59406561711
sz399019,创业200,3439.588,-89.342,-2.532,3528.93,3555.917,3564.032,3439.588,5081006629,86541704139
sz399020,创业小盘,1361.56,-33.422,-2.396,1394.982,1399.559,1403.779,1361.56,4027406935,66483861157
sz399030,碳科技30,2891.778,-78.635,-2.647,2970.413,2968.693,2978.848,2891.778,612884713,18618683083
sz399050,创新引擎,2460.317,-44.506,-1.777,2504.823,2506.858,2513.318,2460.317,1611528546,33943916282
sz399060,碳科技60,2545.816,-26.604,-1.034,2572.42,2573.991,2585.357,2545.816,1683886285,44882380004
sz399088,深创100,3556.053,-68.949,-1.902,3625.002,3625.426,3626.723,3556.053,2947257439,97120466698
sz399100,新指数,9002.583,-116.317,-1.276,9118.9,9133.341,9161.401,9002.583,51838585571,661056092399
sz399101,中小综指,10870.267,-110.052,-1.002,10980.319,10986.676,11033.032,10870.267,22445522119,225520309222
sz399102,创业板综,2720.514,-64.653,-2.321,2785.167,2790.649,2795.163,2720.514,17752012165,324013509608
sz399103,乐富指数,7093.784,-73.054,-1.019,7166.838,7173.353,7178.965,7093.784,50120502421,57723658089
sz399106,深证综指,1911.088,-25.257,-1.304,1936.345,1939.552,1945.474,1911.088,53284741781,667641130329
sz399107,深证Ａ指,1998.953,-26.467,-1.307,2025.42,2028.78,2034.984,1998.953,53264068626,667583980937
sz399108,深证Ｂ指,1201.35,2.759,0.23,1198.591,1198.658,1203.372,1197.539,20673155,57149393
sz399231,农林指数,1147.366,10.424,0.917,1136.942,1140.048,1160.938,1140.048,444141091,4347601967
sz399232,采矿指数,2482.406,-2.872,-0.116,2485.278,2483.986,2516.576,2482.406,447642925,4162025559
sz399233,制造指数,2469.895,-40.527,-1.614,2510.422,2508.852,2516.381,2469.895,29739119988,421552117639
sz399234,水电指数,810.476,7.089,0.882,803.387,805.737,816.432,805.737,946066048,5094104823
sz399235,建筑指数,897.367,-5.11,-0.566,902.477,905.946,916.787,897.36,572947238,3432636627
sz399236,批零指数,1243.425,-20.973,-1.659,1264.398,1268.483,1274.215,1243.425,2024997392,17886808615
sz399237,运输指数,1061.537,11.35,1.081,1050.187,1053.675,1071.109,1053.675,417124747,4282873475
sz399238,餐饮指数,1225.023,-25.326,-2.026,1250.349,1258.042,1269.871,1225.023,93032548,430201172
sz399239,IT指数,1710.542,-24.621,-1.419,1735.163,1766.129,1771.771,1709.917,7914423110,123942147408
sz399240,金融指数,1412.972,-35.487,-2.45,1448.459,1451.607,1456.661,1412.972,2247084825,30099503444
sz399241,地产指数,1180.71,-14.909,-1.247,1195.619,1192.669,1216.771,1180.71,1549769270,6653433526
sz399242,商务指数,1169.079,-13.688,-1.157,1182.767,1192.097,1196.415,1168.892,2880966465,18072119897
sz399243,科研指数,1216.79,-9.376,-0.765,1226.166,1229.758,1240.21,1216.79,324710611,5154076015
sz399244,公共指数,501.401,-1.017,-0.202,502.418,503.629,511.122,501.401,656438386,3499222097
sz399248,文化指数,808.206,-0.438,-0.054,808.644,822.605,825.422,807.096,1052264694,8834236023
sz399249,综企指数,2175.023,34.708,1.622,2140.315,2236.078,2266.606,2175.023,42307337,495578073
sz399258,绿色低碳,3165.149,-31.76,-0.993,3196.909,3194.067,3212.657,3165.149,1382726187,29444126085
sz399259,创业低碳,3222.271,-79.035,-2.394,3301.306,3301.071,3317.473,3222.271,1066174125,20095166195
sz399260,先进制造,2706.142,-42.43,-1.544,2748.572,2742.209,2748.103,2706.142,2242721163,66407272557
sz399261,创业制造,3296.161,-112.533,-3.301,3408.694,3385.982,3392.457,3296.161,742754485,41442027556
sz399262,数字经济,1833.963,-72.877,-3.822,1906.84,1903.493,1903.657,1833.935,2556558761,97407793880
sz399263,创业数字,1912.817,-91.455,-4.563,2004.272,1997.414,1998.026,1912.772,2693570702,77854923952
sz399264,创新技术,1337.108,-45.294,-3.276,1382.402,1395.197,1397.548,1337.108,2030304911,52419653256
sz399265,创新药械,892.841,-6.924,-0.77,899.765,901.883,909.585,892.841,323564578,6347997359
sz399266,创新能源,2249.399,-58.964,-2.554,2308.363,2309.609,2318.714,2249.399,663510321,22592565518
sz399269,创质量,4224.844,-159.942,-3.648,4384.786,4355.352,4356.94,4224.844,1285740394,62479671183
sz399274,深新基建,3825.968,-121.99,-3.09,3947.958,3940.755,3941.484,3825.968,2300901761,89602923089
sz399275,创医药,2368.546,-19.839,-0.831,2388.385,2393.61,2414.718,2368.546,428801502,8077293289
sz399276,创科技,4795.354,-127.171,-2.583,4922.525,4926.482,4928.66,4795.234,1138660957,51920141236
sz399277,公共健康,2297.995,-7.181,-0.312,2305.176,2319.94,2330.55,2297.995,793595376,11601645153
sz399278,长江100,1559.198,-21.882,-1.384,1581.08,1579.683,1585.158,1559.198,3173735308,74411256833
