date,symbols,count
2020-08-27,"sh600203,sh600375,sh600557,sh600883,sh603160,sh603197,sh603501,sh603721,sh688005,sh688058,sh688123,sh688159,sh688233,sz000564,sz000915,sz002046,sz002131,sz002212,sz002364,sz002396,sz002723,sz300628,sz300659,sz300769",24
2020-08-28,"sh600126,sh600183,sh600538,sh603083,sh603096,sh603986,sh688020,sh688039,sh688068,sh688081,sh688222,sh688505,sz000586,sz000868,sz000936,sz002125,sz002463,sz002697,sz002876,sz002916,sz002983",21
2020-08-31,"sh600203,sh603839,sh688030,sh688159,sh688579,sz002188,sz002194,sz002592,sz002824",9
2020-09-01,"bj837344,sh600183,sh600387,sh603160,sh603200,sh688068,sh688123,sh688177,sh688360,sh688566,sz002983,sz300769",12
2020-09-02,"sh600203,sh600538,sh600626,sh688030,sh688058,sz000564,sz000567,sz000936,sz002120,sz002174,sz002194,sz300223,sz300709",13
2020-09-03,"sh600998,sh603439,sh688020,sh688159,sh688199,sz002291,sz002400",7
2020-09-04,"sh600203,sh600268,sh600360,sh600387,sh600505,sh600626,sh600834,sh603096,sh603160,sh603360,sh603533,sh603721,sh603879,sh688039,sh688123,sh688505,sh688566,sh688579,sz000567,sz000793,sz002194,sz002351,sz002364,sz002824,sz002876,sz002983,sz300635",27
2020-09-07,"sz002338,sz002697",2
2020-09-08,"bj831305,sh600053,sh600200,sh600387,sh600418,sh600626,sh600639,sh600640,sh603096,sh603379,sh603533,sh603721,sh603879,sh605158,sh688023,sh688090,sz000564,sz000567,sz000586,sz000851,sz002103,sz002174,sz002204,sz002460,sz002837,sz002880,sz300783",27
2020-09-09,"sh600126,sh600239,sz000936",3
2020-09-10,"sh600183,sh688008,sh688021,sh688198,sz002107,sz002299,sz300635",7
